Year,Units,display,sex,Bundesland,GeoCode,Value
2005,percentage (%),a) time series,male and female,rp,'070000000000',16.4
2006,percentage (%),a) time series,male and female,rp,'070000000000',15.3
2007,percentage (%),a) time series,male and female,rp,'070000000000',15.5
2008,percentage (%),a) time series,male and female,rp,'070000000000',12.4
2009,percentage (%),a) time series,male and female,rp,'070000000000',13.7
2010,percentage (%),a) time series,male and female,rp,'070000000000',15.5
2011,percentage (%),a) time series,male and female,rp,'070000000000',13.5
2012,percentage (%),a) time series,male and female,rp,'070000000000',12.5
2013,percentage (%),a) time series,male and female,rp,'070000000000',13.1
2014,percentage (%),a) time series,male and female,rp,'070000000000',10.4
2015,percentage (%),a) time series,male and female,rp,'070000000000',12.2
2016,percentage (%),a) time series,male and female,rp,'070000000000',11.8
2017,percentage (%),a) time series,male and female,rp,'070000000000',11.7
2018,percentage (%),a) time series,male and female,rp,'070000000000',11.5
2019,percentage (%),a) time series,male and female,rp,'070000000000',11.6
2005,percentage (%),a) time series,female,rp,'070000000000',17.6
2006,percentage (%),a) time series,female,rp,'070000000000',16.5
2007,percentage (%),a) time series,female,rp,'070000000000',13.0
2008,percentage (%),a) time series,female,rp,'070000000000',11.7
2009,percentage (%),a) time series,female,rp,'070000000000',13.5
2010,percentage (%),a) time series,female,rp,'070000000000',14.5
2011,percentage (%),a) time series,female,rp,'070000000000',12.2
2012,percentage (%),a) time series,female,rp,'070000000000',13.2
2013,percentage (%),a) time series,female,rp,'070000000000',12.7
2014,percentage (%),a) time series,female,rp,'070000000000',9.9
2015,percentage (%),a) time series,female,rp,'070000000000',12.2
2016,percentage (%),a) time series,female,rp,'070000000000',10.4
2017,percentage (%),a) time series,female,rp,'070000000000',10.0
2018,percentage (%),a) time series,female,rp,'070000000000',9.6
2019,percentage (%),a) time series,female,rp,'070000000000',10.5
2005,percentage (%),a) time series,male,rp,'070000000000',15.1
2006,percentage (%),a) time series,male,rp,'070000000000',14.2
2007,percentage (%),a) time series,male,rp,'070000000000',17.7
2008,percentage (%),a) time series,male,rp,'070000000000',13.1
2009,percentage (%),a) time series,male,rp,'070000000000',13.9
2010,percentage (%),a) time series,male,rp,'070000000000',16.6
2011,percentage (%),a) time series,male,rp,'070000000000',14.8
2012,percentage (%),a) time series,male,rp,'070000000000',11.8
2013,percentage (%),a) time series,male,rp,'070000000000',13.4
2014,percentage (%),a) time series,male,rp,'070000000000',10.9
2015,percentage (%),a) time series,male,rp,'070000000000',12.1
2016,percentage (%),a) time series,male,rp,'070000000000',13.2
2017,percentage (%),a) time series,male,rp,'070000000000',13.3
2018,percentage (%),a) time series,male,rp,'070000000000',13.2
2019,percentage (%),a) time series,male,rp,'070000000000',12.6
2005,percentage (%),a) time series,male and female,sl,'100000000000',20.6
2006,percentage (%),a) time series,male and female,sl,'100000000000',20.8
2007,percentage (%),a) time series,male and female,sl,'100000000000',16.3
2008,percentage (%),a) time series,male and female,sl,'100000000000',14.1
2009,percentage (%),a) time series,male and female,sl,'100000000000',14.4
2010,percentage (%),a) time series,male and female,sl,'100000000000',13.2
2011,percentage (%),a) time series,male and female,sl,'100000000000',15.4
2012,percentage (%),a) time series,male and female,sl,'100000000000',12.9
2013,percentage (%),a) time series,male and female,sl,'100000000000',14.1
2014,percentage (%),a) time series,male and female,sl,'100000000000',11.9
2015,percentage (%),a) time series,male and female,sl,'100000000000',12.2
2016,percentage (%),a) time series,male and female,sl,'100000000000',10.3
2017,percentage (%),a) time series,male and female,sl,'100000000000',11.7
2018,percentage (%),a) time series,male and female,sl,'100000000000',11.8
2019,percentage (%),a) time series,male and female,sl,'100000000000',11.5
2005,percentage (%),a) time series,female,sl,'100000000000',15.5
2006,percentage (%),a) time series,female,sl,'100000000000',18.8
2007,percentage (%),a) time series,female,sl,'100000000000',15.9
2009,percentage (%),a) time series,female,sl,'100000000000',14.0
2013,percentage (%),a) time series,female,sl,'100000000000',14.2
2015,percentage (%),a) time series,female,sl,'100000000000',15.9
2005,percentage (%),a) time series,male,sl,'100000000000',26.4
2006,percentage (%),a) time series,male,sl,'100000000000',22.9
2007,percentage (%),a) time series,male,sl,'100000000000',16.8
2008,percentage (%),a) time series,male,sl,'100000000000',13.9
2009,percentage (%),a) time series,male,sl,'100000000000',14.8
2010,percentage (%),a) time series,male,sl,'100000000000',14.8
2011,percentage (%),a) time series,male,sl,'100000000000',18.4
2012,percentage (%),a) time series,male,sl,'100000000000',14.7
2013,percentage (%),a) time series,male,sl,'100000000000',14.0
2017,percentage (%),a) time series,male,sl,'100000000000',13.0
2005,percentage (%),a) time series,male and female,sn,'140000000000',9.8
2006,percentage (%),a) time series,male and female,sn,'140000000000',8.9
2007,percentage (%),a) time series,male and female,sn,'140000000000',8.4
2008,percentage (%),a) time series,male and female,sn,'140000000000',7.4
2009,percentage (%),a) time series,male and female,sn,'140000000000',6.7
2010,percentage (%),a) time series,male and female,sn,'140000000000',7.6
2011,percentage (%),a) time series,male and female,sn,'140000000000',7.7
2012,percentage (%),a) time series,male and female,sn,'140000000000',7.7
2013,percentage (%),a) time series,male and female,sn,'140000000000',6.5
2014,percentage (%),a) time series,male and female,sn,'140000000000',6.8
2015,percentage (%),a) time series,male and female,sn,'140000000000',8.4
2016,percentage (%),a) time series,male and female,sn,'140000000000',7.7
2017,percentage (%),a) time series,male and female,sn,'140000000000',8.6
2018,percentage (%),a) time series,male and female,sn,'140000000000',7.5
2019,percentage (%),a) time series,male and female,sn,'140000000000',8.3
2005,percentage (%),a) time series,female,sn,'140000000000',10.5
2006,percentage (%),a) time series,female,sn,'140000000000',7.8
2007,percentage (%),a) time series,female,sn,'140000000000',8.6
2008,percentage (%),a) time series,female,sn,'140000000000',5.8
2009,percentage (%),a) time series,female,sn,'140000000000',6.6
2010,percentage (%),a) time series,female,sn,'140000000000',7.6
2011,percentage (%),a) time series,female,sn,'140000000000',7.5
2012,percentage (%),a) time series,female,sn,'140000000000',7.2
2013,percentage (%),a) time series,female,sn,'140000000000',6.7
2014,percentage (%),a) time series,female,sn,'140000000000',6.6
2015,percentage (%),a) time series,female,sn,'140000000000',7.1
2016,percentage (%),a) time series,female,sn,'140000000000',7.0
2017,percentage (%),a) time series,female,sn,'140000000000',9.8
2018,percentage (%),a) time series,female,sn,'140000000000',7.0
2019,percentage (%),a) time series,female,sn,'140000000000',7.0
2005,percentage (%),a) time series,male,sn,'140000000000',9.1
2006,percentage (%),a) time series,male,sn,'140000000000',9.9
2007,percentage (%),a) time series,male,sn,'140000000000',8.2
2008,percentage (%),a) time series,male,sn,'140000000000',8.8
2009,percentage (%),a) time series,male,sn,'140000000000',6.7
2010,percentage (%),a) time series,male,sn,'140000000000',7.6
2011,percentage (%),a) time series,male,sn,'140000000000',7.9
2012,percentage (%),a) time series,male,sn,'140000000000',8.1
2013,percentage (%),a) time series,male,sn,'140000000000',6.3
2014,percentage (%),a) time series,male,sn,'140000000000',7.0
2015,percentage (%),a) time series,male,sn,'140000000000',9.6
2016,percentage (%),a) time series,male,sn,'140000000000',8.3
2017,percentage (%),a) time series,male,sn,'140000000000',7.5
2018,percentage (%),a) time series,male,sn,'140000000000',8.0
2019,percentage (%),a) time series,male,sn,'140000000000',9.4
2005,percentage (%),a) time series,male and female,st,'150000000000',12.4
2006,percentage (%),a) time series,male and female,st,'150000000000',12.2
2007,percentage (%),a) time series,male and female,st,'150000000000',11.8
2008,percentage (%),a) time series,male and female,st,'150000000000',12.1
2009,percentage (%),a) time series,male and female,st,'150000000000',10.8
2010,percentage (%),a) time series,male and female,st,'150000000000',11.7
2011,percentage (%),a) time series,male and female,st,'150000000000',12.9
2012,percentage (%),a) time series,male and female,st,'150000000000',11.1
2013,percentage (%),a) time series,male and female,st,'150000000000',9.7
2014,percentage (%),a) time series,male and female,st,'150000000000',9.3
2015,percentage (%),a) time series,male and female,st,'150000000000',12.2
2016,percentage (%),a) time series,male and female,st,'150000000000',11.2
2017,percentage (%),a) time series,male and female,st,'150000000000',13.6
2018,percentage (%),a) time series,male and female,st,'150000000000',9.1
2019,percentage (%),a) time series,male and female,st,'150000000000',12.7
2005,percentage (%),a) time series,female,st,'150000000000',9.8
2006,percentage (%),a) time series,female,st,'150000000000',11.0
2007,percentage (%),a) time series,female,st,'150000000000',9.5
2008,percentage (%),a) time series,female,st,'150000000000',11.2
2009,percentage (%),a) time series,female,st,'150000000000',9.8
2010,percentage (%),a) time series,female,st,'150000000000',9.1
2011,percentage (%),a) time series,female,st,'150000000000',11.6
2012,percentage (%),a) time series,female,st,'150000000000',10.1
2015,percentage (%),a) time series,female,st,'150000000000',11.7
2017,percentage (%),a) time series,female,st,'150000000000',11.9
2019,percentage (%),a) time series,female,st,'150000000000',10.0
2005,percentage (%),a) time series,male,st,'150000000000',14.7
2006,percentage (%),a) time series,male,st,'150000000000',13.3
2007,percentage (%),a) time series,male,st,'150000000000',14.0
2008,percentage (%),a) time series,male,st,'150000000000',13.0
2009,percentage (%),a) time series,male,st,'150000000000',11.7
2010,percentage (%),a) time series,male,st,'150000000000',13.9
2011,percentage (%),a) time series,male,st,'150000000000',14.0
2012,percentage (%),a) time series,male,st,'150000000000',11.8
2013,percentage (%),a) time series,male,st,'150000000000',10.5
2014,percentage (%),a) time series,male,st,'150000000000',9.4
2015,percentage (%),a) time series,male,st,'150000000000',12.6
2016,percentage (%),a) time series,male,st,'150000000000',13.3
2017,percentage (%),a) time series,male,st,'150000000000',15.0
2018,percentage (%),a) time series,male,st,'150000000000',10.0
2019,percentage (%),a) time series,male,st,'150000000000',14.8
2005,percentage (%),a) time series,male and female,sh,'010000000000',15.1
2006,percentage (%),a) time series,male and female,sh,'010000000000',17.1
2007,percentage (%),a) time series,male and female,sh,'010000000000',11.8
2008,percentage (%),a) time series,male and female,sh,'010000000000',13.6
2009,percentage (%),a) time series,male and female,sh,'010000000000',12.1
2010,percentage (%),a) time series,male and female,sh,'010000000000',12.6
2011,percentage (%),a) time series,male and female,sh,'010000000000',12.9
2012,percentage (%),a) time series,male and female,sh,'010000000000',12.3
2013,percentage (%),a) time series,male and female,sh,'010000000000',10.3
2014,percentage (%),a) time series,male and female,sh,'010000000000',12.8
2015,percentage (%),a) time series,male and female,sh,'010000000000',10.6
2016,percentage (%),a) time series,male and female,sh,'010000000000',10.7
2017,percentage (%),a) time series,male and female,sh,'010000000000',9.1
2018,percentage (%),a) time series,male and female,sh,'010000000000',10.1
2019,percentage (%),a) time series,male and female,sh,'010000000000',11.0
2005,percentage (%),a) time series,female,sh,'010000000000',14.2
2006,percentage (%),a) time series,female,sh,'010000000000',16.1
2007,percentage (%),a) time series,female,sh,'010000000000',11.6
2008,percentage (%),a) time series,female,sh,'010000000000',13.5
2009,percentage (%),a) time series,female,sh,'010000000000',13.1
2010,percentage (%),a) time series,female,sh,'010000000000',12.8
2011,percentage (%),a) time series,female,sh,'010000000000',12.0
2012,percentage (%),a) time series,female,sh,'010000000000',11.6
2013,percentage (%),a) time series,female,sh,'010000000000',10.3
2014,percentage (%),a) time series,female,sh,'010000000000',12.5
2015,percentage (%),a) time series,female,sh,'010000000000',8.9
2016,percentage (%),a) time series,female,sh,'010000000000',10.6
2017,percentage (%),a) time series,female,sh,'010000000000',7.6
2018,percentage (%),a) time series,female,sh,'010000000000',8.9
2019,percentage (%),a) time series,female,sh,'010000000000',8.7
2005,percentage (%),a) time series,male,sh,'010000000000',16.1
2006,percentage (%),a) time series,male,sh,'010000000000',18.2
2007,percentage (%),a) time series,male,sh,'010000000000',11.9
2008,percentage (%),a) time series,male,sh,'010000000000',13.8
2009,percentage (%),a) time series,male,sh,'010000000000',11.2
2010,percentage (%),a) time series,male,sh,'010000000000',12.5
2011,percentage (%),a) time series,male,sh,'010000000000',13.6
2012,percentage (%),a) time series,male,sh,'010000000000',12.9
2013,percentage (%),a) time series,male,sh,'010000000000',10.4
2014,percentage (%),a) time series,male,sh,'010000000000',13.1
2015,percentage (%),a) time series,male,sh,'010000000000',12.1
2016,percentage (%),a) time series,male,sh,'010000000000',10.8
2017,percentage (%),a) time series,male,sh,'010000000000',10.4
2018,percentage (%),a) time series,male,sh,'010000000000',11.2
2019,percentage (%),a) time series,male,sh,'010000000000',13.2
2005,percentage (%),a) time series,male and female,th,'160000000000',6.6
2006,percentage (%),a) time series,male and female,th,'160000000000',8.8
2007,percentage (%),a) time series,male and female,th,'160000000000',10.2
2008,percentage (%),a) time series,male and female,th,'160000000000',7.4
2009,percentage (%),a) time series,male and female,th,'160000000000',5.4
2010,percentage (%),a) time series,male and female,th,'160000000000',6.3
2011,percentage (%),a) time series,male and female,th,'160000000000',7.7
2012,percentage (%),a) time series,male and female,th,'160000000000',7.0
2013,percentage (%),a) time series,male and female,th,'160000000000',7.7
2014,percentage (%),a) time series,male and female,th,'160000000000',6.1
2015,percentage (%),a) time series,male and female,th,'160000000000',8.3
2016,percentage (%),a) time series,male and female,th,'160000000000',8.8
2017,percentage (%),a) time series,male and female,th,'160000000000',8.7
2018,percentage (%),a) time series,male and female,th,'160000000000',8.5
2019,percentage (%),a) time series,male and female,th,'160000000000',9.6
2005,percentage (%),a) time series,female,th,'160000000000',7.2
2006,percentage (%),a) time series,female,th,'160000000000',8.6
2007,percentage (%),a) time series,female,th,'160000000000',11.6
2008,percentage (%),a) time series,female,th,'160000000000',7.1
2009,percentage (%),a) time series,female,th,'160000000000',6.0
2010,percentage (%),a) time series,female,th,'160000000000',6.4
2011,percentage (%),a) time series,female,th,'160000000000',6.7
2005,percentage (%),a) time series,male,th,'160000000000',6.1
2006,percentage (%),a) time series,male,th,'160000000000',9.0
2007,percentage (%),a) time series,male,th,'160000000000',8.8
2008,percentage (%),a) time series,male,th,'160000000000',7.7
2009,percentage (%),a) time series,male,th,'160000000000',4.8
2010,percentage (%),a) time series,male,th,'160000000000',6.2
2011,percentage (%),a) time series,male,th,'160000000000',8.5
2012,percentage (%),a) time series,male,th,'160000000000',8.0
2013,percentage (%),a) time series,male,th,'160000000000',8.3
2015,percentage (%),a) time series,male,th,'160000000000',9.1
2016,percentage (%),a) time series,male,th,'160000000000',10.0
2017,percentage (%),a) time series,male,th,'160000000000',10.6
2018,percentage (%),a) time series,male,th,'160000000000',10.1
2019,percentage (%),a) time series,male,th,'160000000000',10.5
