Year,Units,display,criminal offences,Bundesland,GeoCode,Value
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,50000000000.0,7160
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),nw,50000000000.0,6847
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,6087
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,6242
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,6331
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,6515
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,6667
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,6545
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,6651
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,6711
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,6509
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,6944
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,7102
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,7417
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,7345
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,7375
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,7130
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,7274
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,7044
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,6989
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,6878
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,6703
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,6702
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,6623
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,6818
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,6775
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,6191
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,6001
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),rp,70000000000.0,5913
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,6278
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,5852
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,5983
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,6316
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,6273
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,6055
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,5824
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,6043
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,5720
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,6866
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,7075
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,7384
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,7384
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,7629
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,7163
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,7639
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,7335
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,7134
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,6914
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,7303
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,7296
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,7642
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,7886
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,7732
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,7110
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,7129
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sl,100000000000.0,7543
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,7653
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,8402
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,8832
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,8619
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,8087
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,8157
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,8254
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,7883
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,8030
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,7762
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,8211
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,7871
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,7510
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,7312
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,7367
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,7130
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,6787
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,7107
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,7228
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,7706
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,7716
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,8086
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,7764
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,7950
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,7917
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,6831
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sn,140000000000.0,6665
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,10815
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,10868
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,11617
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,11193
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,10847
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,10623
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,9950
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,9387
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,9091
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,9234
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,9075
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,9154
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,8762
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,8838
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,8987
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,8683
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,8550
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,8153
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,8152
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,8312
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,8581
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,8665
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,8893
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,8749
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,8342
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,7900
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),st,150000000000.0,7850
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,10172
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,9732
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,10232
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,9264
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,9056
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,9137
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,8641
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,8922
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,8870
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,9225
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,9423
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,9173
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,8701
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,8637
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,8647
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,8562
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,8663
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,7913
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,7846
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,7563
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,7125
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,7184
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,7157
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,7225
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,6557
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,6467
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),sh,10000000000.0,6333
1993,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6332
1994,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6502
1995,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,7448
1996,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,7448
1997,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6960
1998,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,7037
1999,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6585
2000,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6414
2001,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6665
2002,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6952
2003,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6987
2004,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6999
2005,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6548
2006,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6512
2007,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6454
2008,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6323
2009,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6213
2010,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6240
2011,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6239
2012,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6421
2013,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6557
2014,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6574
2015,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6502
2016,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6875
2017,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6637
2018,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6655
2019,per 100 000 inhabitants,a) time series,a) criminal offences (overall),th,160000000000.0,6033
1993,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,109
1994,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,109
1995,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,118
1996,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,124
1997,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,130
1998,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,135
1999,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,141
2000,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,144
2001,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,148
2002,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,156
2003,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,163
2004,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,171
2005,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,181
2006,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,186
2007,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,191
2008,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,187
2009,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,185
2010,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,178
2011,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,173
2012,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,169
2013,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,159
2014,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,156
2015,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,157
2016,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,170
2017,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,166
2018,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,165
2019,per 100 000 inhabitants,a) time series,serious and grievous bodily harm,a) germany (total),,160
1993,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,654
1994,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,724
1995,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,767
1996,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,797
1997,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,823
1998,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,866
1999,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,881
2000,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,947
2001,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,974
2002,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,966
2003,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1074
2004,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1156
2005,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1167
2006,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1174
2007,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1126
2008,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1097
2009,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1186
2010,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1205
2011,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1165
2012,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1193
2013,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1165
2014,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1200
2015,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1190
2016,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1094
2017,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1103
2018,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1016
2019,per 100 000 inhabitants,a) time series,fraud,a) germany (total),,1003
1993,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,281
1994,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,260
1995,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,260
1996,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,241
1997,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,223
1998,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,205
1999,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,183
2000,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,172
2001,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,164
2002,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,159
2003,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,151
2004,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,152
2005,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,135
2006,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,131
2007,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,135
2008,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,134
2009,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,141
2010,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,151
2011,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,165
2012,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,179
2013,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,186
2014,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,188
2015,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,206
2016,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,184
2017,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,141
2018,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,118
2019,per 100 000 inhabitants,a) time series,burglary in homes,a) germany (total),,105
